ID,Name,Designator,Quantity
1,ARDUINO_NANO,U1,1
2,NRF24L01+,MK1,1
3,10K,R13,1
4,10uF,C1,1
5,LCD16X2,DS2,1
6,button6*6*8.5,"KEY5,KEY6,KEY7,KEY8",4
7,100K,"R8,R9,R11,R12",4
8,1K,"R10,R14",2
